id;bald;year;surv;size;ontogeny;fec0Flowering;fec1Fruits;sizeNext;ontogenyNext
42;1;1997;1;36;0;1;140;44;0
1511;1;1997;1;36;0;1;162;44;0
1557;1;1997;1;36;0;1;100;44;0
18;1;1997;1;36;0;1;112;55;0
40;1;1997;1;38;0;1;53;41;0
1491;1;1997;1;39;0;0;0;11;0
1487;1;1997;1;40;0;1;107;46;0
1484;1;1997;1;41;0;1;51;28;0
1083;1;1997;1;42;0;1;19;34;0
1456;1;1997;1;42;0;1;269;44;0
1565;1;1997;0;42;0;1;221;NA;NA
2;1;1997;1;43;0;1;73;41;0
1510;1;1997;1;43;0;1;147;50;0
13;1;1997;1;44;0;1;335;56;0
1497;1;1997;1;45;0;1;180;35;0
1559;1;1997;0;45;0;1;304;NA;NA
1492;1;1997;0;46;0;1;123;NA;NA
1082;1;1997;1;47;0;1;140;55;0
59;1;1997;1;49;0;1;168;38;0
58;1;1997;0;56;0;1;244;NA;NA
60;1;1997;0;66;0;1;644;NA;NA
2214;1;1997;NA;NA;NA;NA;NA;1;1
2215;1;1997;NA;NA;NA;NA;NA;1;1
2216;1;1997;NA;NA;NA;NA;NA;1;1
2218;1;1997;NA;NA;NA;NA;NA;1;1
2219;1;1997;NA;NA;NA;NA;NA;1;1
2221;1;1997;NA;NA;NA;NA;NA;1;1
2222;1;1997;NA;NA;NA;NA;NA;1;1
2223;1;1997;NA;NA;NA;NA;NA;1;1
2225;1;1997;NA;NA;NA;NA;NA;1;1
2229;1;1997;NA;NA;NA;NA;NA;1;1
2230;1;1997;NA;NA;NA;NA;NA;1;1
2231;1;1997;NA;NA;NA;NA;NA;1;1
2232;1;1997;NA;NA;NA;NA;NA;1;1
2209;1;1997;NA;NA;NA;NA;NA;2;1
2224;1;1997;NA;NA;NA;NA;NA;2;1
2227;1;1997;NA;NA;NA;NA;NA;4;1
2228;1;1997;NA;NA;NA;NA;NA;4;1
2212;1;1997;NA;NA;NA;NA;NA;5;1
2217;1;1997;NA;NA;NA;NA;NA;6;1
2220;1;1997;NA;NA;NA;NA;NA;6;1
2213;1;1997;NA;NA;NA;NA;NA;9;1
2226;1;1997;NA;NA;NA;NA;NA;17;0
2208;1;1997;NA;NA;NA;NA;NA;22;0
2210;1;1997;NA;NA;NA;NA;NA;22;0
2211;1;1997;NA;NA;NA;NA;NA;29;0
2233;1;1997;NA;NA;NA;NA;NA;33;0
2204;1;1997;NA;NA;NA;NA;NA;37;0
2207;1;1997;NA;NA;NA;NA;NA;38;0
2205;1;1997;NA;NA;NA;NA;NA;39;0
2206;1;1997;NA;NA;NA;NA;NA;43;0
2234;1;1997;NA;NA;NA;NA;NA;65;0
