id;bald;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
28;1;1967;1994;1994;27;39;0;1;105;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
36;1;1967;1994;1994;27;40;0;1;41;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;17;0;1420.622
3;1;1967;1994;1994;27;40;0;0;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;1;37;0;1420.622
40;1;1967;1994;1994;27;40;0;1;39;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;48;0;1420.622
29;1;1967;1994;1994;27;42;0;1;182;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
51;1;1967;1994;1994;27;43;0;1;369;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
19;1;1967;1994;1994;27;45;0;1;213;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;37;0;1420.622
53;1;1967;1994;1994;27;47;0;1;122;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
26;1;1967;1994;1994;27;48;0;1;179;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
14;1;1967;1994;1994;27;51;0;1;213;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;52;0;1420.622
64;1;1967;1994;1994;27;53;0;1;202;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;71;0;1420.622
52;1;1967;1994;1994;27;54;0;1;357;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
38;1;1967;1994;1994;27;56;0;1;180;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;21;0;1420.622
58;1;1967;1994;1994;27;56;0;1;597;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;57;0;1420.622
62;1;1967;1994;1994;27;56;0;1;108;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
60;1;1967;1994;1994;27;73;0;1;389;14;0.001216;0.141421356;0.08234362;0.672;1481.836;1;76;0;1420.622
66;1;1967;1994;1994;27;81;0;1;1389;14;0.001216;0.141421356;0.08234362;0.672;1481.836;0;NA;NA;1420.622
1073;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;1;1;1420.622
1063;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;2;1;1420.622
1068;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;2;1;1420.622
1074;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;2;1;1420.622
1088;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;2;1;1420.622
1070;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;3;1;1420.622
1076;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;3;1;1420.622
1078;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;3;1;1420.622
