idNew;id;bald;gap;tag;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
ID240B42G1-141;240;42;1;141;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;32;0;1420.622
ID83B29G1-5011;83;29;1;5011;1985;1994;1994;9;2;1;0;0;0;0.000424;0.141421356;0.18934606;0.824;1481.836;0;NA;NA;1420.622
ID286B50G1-176;286;50;1;176;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID331B50G1-5220;331;50;1;5220;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID395B57G1-5459;395;57;1;5459;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID788B88G1-134;788;88;1;134;1986;1994;1994;8;3;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;5;0;1420.622
ID254B42G1-155;254;42;1;155;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;7;0;1420.622
ID211B42G1-111;211;42;1;111;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;9;0;1420.622
ID214B42G1-114;214;42;1;114;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;20;0;1420.622
ID218B42G1-118;218;42;1;118;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;21;0;1420.622
ID309B50G1-200;309;50;1;200;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;22;0;1420.622
ID238B42G1-139;238;42;1;139;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID536B62G1-22;536;62;1;22;1967;1994;1994;27;3;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;30;0;1420.622
ID291B50G1-181;291;50;1;181;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;33;0;1420.622
ID304B50G1-195;304;50;1;195;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;44;0;1420.622
ID329B50G1-5215;329;50;1;5215;1993;1994;1994;1;3;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID230B42G1-131;230;42;1;131;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;6;0;1420.622
ID2B1G1-312;2;1;1;312;1967;1994;1994;27;4;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;7;0;1420.622
ID186B32G1-496;186;32;1;496;1967;1994;1994;27;4;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;15;0;1420.622
ID245B42G1-146;245;42;1;146;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;15;0;1420.622
ID212B42G1-112;212;42;1;112;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;18;0;1420.622
ID242B42G1-143;242;42;1;143;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;18;0;1420.622
ID547B62G1-36;547;62;1;36;1967;1994;1994;27;4;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;18;0;1420.622
ID221B42G1-121;221;42;1;121;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;23;0;1420.622
ID206B42G1-105;206;42;1;105;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID244B42G1-145;244;42;1;145;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID305B50G1-196;305;50;1;196;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID325B50G1-217;325;50;1;217;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID752B88G1-97;752;88;1;97;1986;1994;1994;8;4;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;32;0;1420.622
ID184B32G1-494;184;32;1;494;1967;1994;1994;27;4;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;33;0;1420.622
ID297B50G1-187;297;50;1;187;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;36;0;1420.622
ID742B88G1-87;742;88;1;87;1986;1994;1994;8;4;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;36;0;1420.622
ID115B29G1-5065;115;29;1;5065;1985;1994;1994;9;4;1;1;7;12;0.000424;0.141421356;0.18934606;0.824;1481.836;0;NA;NA;1420.622
ID327B50G1-5174;327;50;1;5174;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID330B50G1-5219;330;50;1;5219;1993;1994;1994;1;4;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID686B87G1-260;686;87;1;260;1986;1994;1994;8;4;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID746B88G1-91;746;88;1;91;1986;1994;1994;8;4;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID250B42G1-151;250;42;1;151;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;8;0;1420.622
ID246B42G1-147;246;42;1;147;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;14;0;1420.622
ID253B42G1-154;253;42;1;154;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;21;0;1420.622
ID213B42G1-113;213;42;1;113;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;24;0;1420.622
ID310B50G1-201;310;50;1;201;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;25;0;1420.622
ID219B42G1-119;219;42;1;119;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;26;0;1420.622
ID228B42G1-129;228;42;1;129;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;26;0;1420.622
ID232B42G1-133;232;42;1;133;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;26;0;1420.622
ID311B50G1-202;311;50;1;202;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID662B87G1-236;662;87;1;236;1986;1994;1994;8;5;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;28;0;1420.622
ID210B42G1-110;210;42;1;110;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;32;0;1420.622
ID207B42G1-106;207;42;1;106;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;33;0;1420.622
ID296B50G1-186;296;50;1;186;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;34;0;1420.622
ID287B50G1-177;287;50;1;177;1993;1994;1994;1;5;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;49;0;1420.622
ID763B88G1-109;763;88;1;109;1986;1994;1994;8;5;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID666B87G1-240;666;87;1;240;1986;1994;1994;8;6;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;6;0;1420.622
ID252B42G1-153;252;42;1;153;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;9;0;1420.622
ID222B42G1-122;222;42;1;122;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;15;0;1420.622
ID318B50G1-209;318;50;1;209;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;20;0;1420.622
ID243B42G1-144;243;42;1;144;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID322B50G1-213;322;50;1;213;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;29;0;1420.622
ID285B50G1-175;285;50;1;175;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;30;0;1420.622
ID293B50G1-183;293;50;1;183;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;47;0;1420.622
ID260B42G1-5108;260;42;1;5108;1993;1994;1994;1;6;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID803B88G1-150;803;88;1;150;1986;1994;1994;8;6;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID229B42G1-130;229;42;1;130;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;19;0;1420.622
ID209B42G1-109;209;42;1;109;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;23;0;1420.622
ID317B50G1-208;317;50;1;208;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;23;0;1420.622
ID284B50G1-173;284;50;1;173;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;25;0;1420.622
ID323B50G1-214;323;50;1;214;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;26;0;1420.622
ID308B50G1-199;308;50;1;199;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID283B50G1-172;283;50;1;172;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;29;0;1420.622
ID227B42G1-128;227;42;1;128;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;30;0;1420.622
ID993B103G1-97;993;103;1;97;1986;1994;1994;8;7;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;30;0;1420.622
ID300B50G1-191;300;50;1;191;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;37;0;1420.622
ID741B88G1-86;741;88;1;86;1986;1994;1994;8;7;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;44;0;1420.622
ID301B50G1-192;301;50;1;192;1993;1994;1994;1;7;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;50;0;1420.622
ID156B32G1-386;156;32;1;386;1967;1994;1994;27;8;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;21;0;1420.622
ID216B42G1-116;216;42;1;116;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;24;0;1420.622
ID321B50G1-212;321;50;1;212;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID290B50G1-180;290;50;1;180;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;31;0;1420.622
ID138B32G1-177;138;32;1;177;1967;1994;1994;27;8;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;33;0;1420.622
ID205B42G1-104;205;42;1;104;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;42;0;1420.622
ID257B42G1-158;257;42;1;158;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;52;0;1420.622
ID78B29G1-5005;78;29;1;5005;1985;1994;1994;9;8;1;0;0;0;0.000424;0.141421356;0.18934606;0.824;1481.836;0;NA;NA;1420.622
ID306B50G1-197;306;50;1;197;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID328B50G1-5189;328;50;1;5189;1993;1994;1994;1;8;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID821B91G1-408;821;91;1;408;1986;1994;1994;8;9;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;14;0;1420.622
ID550B62G1-39;550;62;1;39;1967;1994;1994;27;9;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;23;0;1420.622
ID248B42G1-149;248;42;1;149;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;25;0;1420.622
ID217B42G1-117;217;42;1;117;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID251B42G1-152;251;42;1;152;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID312B50G1-203;312;50;1;203;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;30;0;1420.622
ID751B88G1-96;751;88;1;96;1986;1994;1994;8;9;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;38;0;1420.622
ID538B62G1-24;538;62;1;24;1967;1994;1994;27;9;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;40;0;1420.622
ID241B42G1-142;241;42;1;142;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;49;0;1420.622
ID77B29G1-5004;77;29;1;5004;1985;1994;1994;9;9;1;0;0;0;0.000424;0.141421356;0.18934606;0.824;1481.836;0;NA;NA;1420.622
ID393B57G1-5408;393;57;1;5408;1993;1994;1994;1;9;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID664B87G1-238;664;87;1;238;1986;1994;1994;8;9;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID705B87G1-282;705;87;1;282;1986;1994;1994;8;9;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID759B88G1-105;759;88;1;105;1986;1994;1994;8;10;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;26;0;1420.622
ID224B42G1-125;224;42;1;125;1993;1994;1994;1;10;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;28;0;1420.622
ID292B50G1-182;292;50;1;182;1993;1994;1994;1;10;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;30;0;1420.622
ID316B50G1-207;316;50;1;207;1993;1994;1994;1;10;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;30;0;1420.622
ID237B42G1-138;237;42;1;138;1993;1994;1994;1;10;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;32;0;1420.622
ID74B29G1-66;74;29;1;66;1985;1994;1994;9;10;1;0;0;0;0.000424;0.141421356;0.18934606;0.824;1481.836;1;38;0;1420.622
ID543B62G1-29;543;62;1;29;1967;1994;1994;27;10;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;51;0;1420.622
ID806B88G1-153;806;88;1;153;1986;1994;1994;8;10;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID817B91G1-403;817;91;1;403;1986;1994;1994;8;11;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;9;0;1420.622
ID68B29G1-10;68;29;1;10;1985;1994;1994;9;11;1;0;0;0;0.000424;0.141421356;0.18934606;0.824;1481.836;1;24;0;1420.622
ID665B87G1-239;665;87;1;239;1986;1994;1994;8;11;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;30;0;1420.622
ID139B32G1-178;139;32;1;178;1967;1994;1994;27;11;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;40;0;1420.622
ID307B50G1-198;307;50;1;198;1993;1994;1994;1;11;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;42;0;1420.622
ID288B50G1-178;288;50;1;178;1993;1994;1994;1;11;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;55;0;1420.622
ID452B59G1-310;452;59;1;310;1968;1994;1994;26;11;1;0;0;0;0.001104;0.141421356;0.08419664;0.672;1481.836;0;NA;NA;1420.622
ID453B59G1-311;453;59;1;311;1968;1994;1994;26;11;1;0;0;0;0.001104;0.141421356;0.08419664;0.672;1481.836;0;NA;NA;1420.622
ID587B67G1-229;587;67;1;229;1986;1994;1994;8;11;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID692B87G1-269;692;87;1;269;1986;1994;1994;8;11;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID710B87G1-287;710;87;1;287;1986;1994;1994;8;11;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID719B87G1-296;719;87;1;296;1986;1994;1994;8;12;1;1;1;13;0.000456;0.141421356;0.18750368;0.824;1481.836;1;20;0;1420.622
ID681B87G1-255;681;87;1;255;1986;1994;1994;8;12;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;25;0;1420.622
ID226B42G1-127;226;42;1;127;1993;1994;1994;1;12;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;26;0;1420.622
ID523B62G1-1;523;62;1;1;1967;1994;1994;27;12;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;38;0;1420.622
ID314B50G1-205;314;50;1;205;1993;1994;1994;1;12;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;43;0;1420.622
ID303B50G1-194;303;50;1;194;1993;1994;1994;1;12;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;62;0;1420.622
ID4B1G1-314;4;1;1;314;1967;1994;1994;27;13;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;3;0;1420.622
ID215B42G1-115;215;42;1;115;1993;1994;1994;1;13;1;1;4;14;0.000904;0.141421356;0.09903614;0.636;1481.836;1;20;0;1420.622
ID204B42G1-103;204;42;1;103;1993;1994;1994;1;13;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;36;0;1420.622
ID986B103G1-89;986;103;1;89;1986;1994;1994;8;13;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;37;0;1420.622
ID982B103G1-83;982;103;1;83;1986;1994;1994;8;13;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;42;0;1420.622
ID392B57G1-5401;392;57;1;5401;1993;1994;1994;1;13;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;0;NA;NA;1420.622
ID447B59G1-301;447;59;1;301;1968;1994;1994;26;13;1;0;0;0;0.001104;0.141421356;0.08419664;0.672;1481.836;0;NA;NA;1420.622
ID820B91G1-407;820;91;1;407;1986;1994;1994;8;14;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;22;0;1420.622
ID833B91G1-426;833;91;1;426;1986;1994;1994;8;14;1;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;22;0;1420.622
ID842B91G1-439;842;91;1;439;1986;1994;1994;8;14;1;1;4;12;0.000456;0.141421356;0.18750368;0.824;1481.836;1;22;0;1420.622
ID320B50G1-211;320;50;1;211;1993;1994;1994;1;14;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;31;0;1420.622
ID554B62G1-43;554;62;1;43;1967;1994;1994;27;14;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;35;0;1420.622
ID778B88G1-124;778;88;1;124;1986;1994;1994;8;14;1;1;2;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;36;0;1420.622
ID315B50G1-206;315;50;1;206;1993;1994;1994;1;14;1;1;4;12;0.000904;0.141421356;0.09903614;0.636;1481.836;1;37;0;1420.622
ID802B88G1-149;802;88;1;149;1986;1994;1994;8;14;1;1;1;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;40;0;1420.622
ID816B91G1-402;816;91;1;402;1986;1994;1994;8;15;0;1;3;12;0.000456;0.141421356;0.18750368;0.824;1481.836;1;15;0;1420.622
ID787B88G1-133;787;88;1;133;1986;1994;1994;8;15;0;1;10;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;25;0;1420.622
ID996B103G1-100;996;103;1;100;1986;1994;1994;8;15;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;28;0;1420.622
ID549B62G1-38;549;62;1;38;1967;1994;1994;27;15;0;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;30;0;1420.622
ID225B42G1-126;225;42;1;126;1993;1994;1994;1;15;1;1;2;14;0.000904;0.141421356;0.09903614;0.636;1481.836;1;31;0;1420.622
ID533B62G1-19;533;62;1;19;1967;1994;1994;27;15;0;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;40;0;1420.622
ID95B29G1-5038;95;29;1;5038;1985;1994;1994;9;15;0;1;7;12;0.000424;0.141421356;0.18934606;0.824;1481.836;0;NA;NA;1420.622
ID748B88G1-93;748;88;1;93;1986;1994;1994;8;15;0;1;1;11;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID799B88G1-145;799;88;1;145;1986;1994;1994;8;15;0;1;11;11;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID980B103G1-81;980;103;1;81;1986;1994;1994;8;16;0;1;9;12;0.000456;0.141421356;0.18750368;0.824;1481.836;1;31;0;1420.622
ID780B88G1-126;780;88;1;126;1986;1994;1994;8;16;0;1;2;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;33;0;1420.622
ID450B59G1-308;450;59;1;308;1968;1994;1994;26;16;0;1;3;13;0.001104;0.141421356;0.08419664;0.672;1481.836;0;NA;NA;1420.622
ID455B59G1-5304;455;59;1;5304;1968;1994;1994;26;16;0;1;5;13;0.001104;0.141421356;0.08419664;0.672;1481.836;0;NA;NA;1420.622
ID734B87G1-5265;734;87;1;5265;1986;1994;1994;8;16;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID745B88G1-90;745;88;1;90;1986;1994;1994;8;16;0;1;3;11;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID779B88G1-125;779;88;1;125;1986;1994;1994;8;16;0;1;4;11;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID785B88G1-131;785;88;1;131;1986;1994;1994;8;16;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID716B87G1-293;716;87;1;293;1986;1994;1994;8;17;0;1;1;13;0.000456;0.141421356;0.18750368;0.824;1481.836;1;15;0;1420.622
ID815B91G1-401;815;91;1;401;1986;1994;1994;8;17;0;1;8;12;0.000456;0.141421356;0.18750368;0.824;1481.836;1;22;0;1420.622
ID753B88G1-98;753;88;1;98;1986;1994;1994;8;17;0;1;12;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;23;0;1420.622
ID861B91G1-478;861;91;1;478;1986;1994;1994;8;17;0;1;4;12;0.000456;0.141421356;0.18750368;0.824;1481.836;1;31;0;1420.622
ID313B50G1-204;313;50;1;204;1993;1994;1994;1;17;1;1;4;12;0.000904;0.141421356;0.09903614;0.636;1481.836;1;34;0;1420.622
ID282B50G1-171;282;50;1;171;1993;1994;1994;1;17;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;35;0;1420.622
ID190B32G1-500;190;32;1;500;1967;1994;1994;27;17;0;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;36;0;1420.622
ID208B42G1-107;208;42;1;107;1993;1994;1994;1;17;0;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;37;0;1420.622
ID804B88G1-151;804;88;1;151;1986;1994;1994;8;17;0;1;2;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;38;0;1420.622
ID776B88G1-122;776;88;1;122;1986;1994;1994;8;17;0;1;11;11;0.000456;0.141421356;0.18750368;0.824;1481.836;1;39;0;1420.622
ID856B91G1-471;856;91;1;471;1986;1994;1994;8;17;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;49;0;1420.622
ID991B103G1-95;991;103;1;95;1986;1994;1994;8;17;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;1;52;0;1420.622
ID683B87G1-257;683;87;1;257;1986;1994;1994;8;17;0;0;0;0;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
ID811B88G1-158;811;88;1;158;1986;1994;1994;8;17;0;1;6;11;0.000456;0.141421356;0.18750368;0.824;1481.836;0;NA;NA;1420.622
