idNew;id;bald;gap;tag;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
ID298B50G1-188;298;50;1;188;1993;1994;1994;1;1;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;7;0;1420.622
ID249B42G1-150;249;42;1;150;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;3;0;1420.622
ID261B42G1-5123;261;42;1;5123;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;4;0;1420.622
ID247B42G1-148;247;42;1;148;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;12;0;1420.622
ID220B42G1-120;220;42;1;120;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;15;0;1420.622
ID299B50G1-190;299;50;1;190;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;16;0;1420.622
ID256B42G1-157;256;42;1;157;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;20;0;1420.622
ID326B50G1-218;326;50;1;218;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;22;0;1420.622
ID223B42G1-124;223;42;1;124;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;23;0;1420.622
ID319B50G1-210;319;50;1;210;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;24;0;1420.622
ID324B50G1-216;324;50;1;216;1993;1994;1994;1;2;1;0;0;0;0.000904;0.141421356;0.09903614;0.636;1481.836;1;27;0;1420.622
ID125B32G1-164;125;32;1;164;1967;1994;1994;27;2;1;0;0;0;0.001216;0.141421356;0.08234362;0.672;1481.836;1;32;0;1420.622
