ID;treatment;site;plot;quadrat;x;y;shrub;compass;distance;year;Pnow;Anow;sizeNow;fecNow;Pnext;Anext;sizeNext;fecNext
Control.I.3.4.85.79;Control;I;3;4;85;79;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.6.88;Control;I;3;5;6;88;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.21.96;Control;I;3;5;21;96;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.36.18;Control;I;3;5;36;18;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.36.36;Control;I;3;5;36;36;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.36.65;Control;I;3;5;36;65;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.45.64;Control;I;3;5;45;64;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.54.40;Control;I;3;5;54;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.54.78;Control;I;3;5;54;78;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.56.38;Control;I;3;5;56;38;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.57.3;Control;I;3;5;57;3;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.61.55;Control;I;3;5;61;55;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.64.46;Control;I;3;5;64;46;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.85.5;Control;I;3;5;85;5;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.5.87.3;Control;I;3;5;87;3;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.6.36.25;Control;I;3;6;36;25;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.6.57.29;Control;I;3;6;57;29;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.6.90.20;Control;I;3;6;90;20;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.6.91.21;Control;I;3;6;91;21;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.10.37.39;Control;I;3;10;37;39;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.10.37.40;Control;I;3;10;37;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.10.44.95;Control;I;3;10;44;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.10.72.99;Control;I;3;10;72;99;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.11.9.23;Control;I;3;11;9;23;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.11.18.18;Control;I;3;11;18;18;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.11.57.2;Control;I;3;11;57;2;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.16.50;Control;I;3;12;16;50;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.37.33;Control;I;3;12;37;33;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.41.46;Control;I;3;12;41;46;Cn;310;-2;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.50.42;Control;I;3;12;50;42;Cn;310;5;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.63.10;Control;I;3;12;63;10;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.73.27;Control;I;3;12;73;27;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.97.33;Control;I;3;12;97;33;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.12.100.45;Control;I;3;12;100;45;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.13.52.55;Control;I;3;13;52;55;Cn;300;6;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.1.49.95;Control;II;5;1;49;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.1.80.53;Control;II;5;1;80;53;NA;NA;NA;2003;22.3266;5;42;1;55.8292;NA;NA;NA
Control.II.5.1.80.53;Control;II;5;1;80;53;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.1.97.25;Control;II;5;1;97;25;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.0.82;Control;II;5;2;0;82;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.7.96;Control;II;5;2;7;96;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.8.87;Control;II;5;2;8;87;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.12.31;Control;II;5;2;12;31;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.46.42;Control;II;5;2;46;42;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.2.50.93;Control;II;5;2;50;93;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.56.95;Control;II;5;2;56;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.69.86;Control;II;5;2;69;86;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.2.80.62;Control;II;5;2;80;62;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.3.5.92;Control;II;5;3;5;92;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.3.75.98;Control;II;5;3;75;98;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.3.84.66;Control;II;5;3;84;66;At;260;1;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.15.53;Control;II;5;4;15;53;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.16.56;Control;II;5;4;16;56;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.22.54;Control;II;5;4;22;54;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.26.43;Control;II;5;4;26;43;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.29.58;Control;II;5;4;29;58;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.32.99;Control;II;5;4;32;99;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.34.57;Control;II;5;4;34;57;At;236;-10;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.40.35;Control;II;5;4;40;35;NA;NA;NA;2003;22.3266;5;16;0;55.8292;6;43;6
Control.II.5.4.42.34;Control;II;5;4;42;34;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.42.53;Control;II;5;4;42;53;At;236;-5;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.46.27;Control;II;5;4;46;27;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.50.32;Control;II;5;4;50;32;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.50.40;Control;II;5;4;50;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.53.26;Control;II;5;4;53;26;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.53.32;Control;II;5;4;53;32;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.55.4;Control;II;5;4;55;4;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.62.40;Control;II;5;4;62;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.82.9;Control;II;5;4;82;9;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.82.30;Control;II;5;4;82;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.91.27;Control;II;5;4;91;27;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.4.95.91;Control;II;5;4;95;91;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.6.36;Control;II;5;5;6;36;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.16.50;Control;II;5;5;16;50;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.20.42;Control;II;5;5;20;42;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.25.45;Control;II;5;5;25;45;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.27.38;Control;II;5;5;27;38;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.34.33;Control;II;5;5;34;33;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.50.70;Control;II;5;5;50;70;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.5.50.70;Control;II;5;5;50;70;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.5.61.40;Control;II;5;5;61;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.83.74;Control;II;5;5;83;74;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.5.85.48;Control;II;5;5;85;48;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.5.85.48;Control;II;5;5;85;48;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.5.85.54;Control;II;5;5;85;54;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;2;0
Control.II.5.6.0.35;Control;II;5;6;0;35;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.5.94;Control;II;5;6;5;94;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.12.88;Control;II;5;6;12;88;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.26.30;Control;II;5;6;26;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.33.79;Control;II;5;6;33;79;NA;NA;NA;2003;22.3266;5;12;1;55.8292;6;23;8
Control.II.5.6.33.79;Control;II;5;6;33;79;NA;NA;NA;2003;22.3266;4;41;0;55.8292;5;71;26
Control.II.5.6.37.25;Control;II;5;6;37;25;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.41.75;Control;II;5;6;41;75;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.43.65;Control;II;5;6;43;65;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.45.72;Control;II;5;6;45;72;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.46.83;Control;II;5;6;46;83;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.47.75;Control;II;5;6;47;75;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.50.75;Control;II;5;6;50;75;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.50.76;Control;II;5;6;50;76;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.52.83;Control;II;5;6;52;83;At;302;5;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.58.54;Control;II;5;6;58;54;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.6.100.13;Control;II;5;6;100;13;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.1.12;Control;II;5;7;1;12;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.15.69;Control;II;5;7;15;69;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.24.35;Control;II;5;7;24;35;At;230;2;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.27.62;Control;II;5;7;27;62;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.30.0;Control;II;5;7;30;0;At;150;2;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.44.77;Control;II;5;7;44;77;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.7.85.51;Control;II;5;7;85;51;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.8.50.26;Control;II;5;8;50;26;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.8.50.26;Control;II;5;8;50;26;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.8.72.12;Control;II;5;8;72;12;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.8.75.73;Control;II;5;8;75;73;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.12.23;Control;II;5;9;12;23;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.16.23;Control;II;5;9;16;23;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.25.17;Control;II;5;9;25;17;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.31.28;Control;II;5;9;31;28;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.35.12;Control;II;5;9;35;12;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.36.33;Control;II;5;9;36;33;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.50.47;Control;II;5;9;50;47;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.9.50.80;Control;II;5;9;50;80;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.62.28;Control;II;5;9;62;28;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.68.85;Control;II;5;9;68;85;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.74.3;Control;II;5;9;74;3;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.82.4;Control;II;5;9;82;4;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.83.73;Control;II;5;9;83;73;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.84.71;Control;II;5;9;84;71;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.84.95;Control;II;5;9;84;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.85.97;Control;II;5;9;85;97;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.90.3;Control;II;5;9;90;3;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.90.73;Control;II;5;9;90;73;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.9.95.4;Control;II;5;9;95;4;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.10.34.56;Control;II;5;10;34;56;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.10.75.28;Control;II;5;10;75;28;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.10.80.5;Control;II;5;10;80;5;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.10.86.50;Control;II;5;10;86;50;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.10.97.40;Control;II;5;10;97;40;Cn;250;2;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.0.34;Control;II;5;11;0;34;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.6.18;Control;II;5;11;6;18;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.7.22;Control;II;5;11;7;22;NA;NA;NA;2003;22.3266;999;18;0;55.8292;999;50;19
Control.II.5.11.9.4;Control;II;5;11;9;4;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.10.59;Control;II;5;11;10;59;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;2;0
Control.II.5.11.22.38;Control;II;5;11;22;38;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.47.2;Control;II;5;11;47;2;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.11.91.33;Control;II;5;11;91;33;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.12.6.60;Control;II;5;12;6;60;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.12.10.34;Control;II;5;12;10;34;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.12.27.25;Control;II;5;12;27;25;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.II.5.12.65.50;Control;II;5;12;65;50;NA;NA;NA;2003;22.3266;1;6;0;55.8292;2;18;1
Control.II.5.12.72.30;Control;II;5;12;72;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.12.72.30;Control;II;5;12;72;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;1;0
Control.II.5.12.95.62;Control;II;5;12;95;62;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.28.94;Control;III;9;1;28;94;NA;NA;NA;2003;22.3266;1;1;0;55.8292;NA;NA;NA
Control.III.9.1.44.47;Control;III;9;1;44;47;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.56.47;Control;III;9;1;56;47;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.62.96;Control;III;9;1;62;96;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.77.90;Control;III;9;1;77;90;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.82.56;Control;III;9;1;82;56;NA;NA;NA;2003;22.3266;7;58;0;55.8292;8;100;36
Control.III.9.1.89.72;Control;III;9;1;89;72;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.1.95.88;Control;III;9;1;95;88;At;110;4;2003;22.3266;5;17;0;55.8292;NA;NA;NA
Control.III.9.2.2.54;Control;III;9;2;2;54;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.12.27;Control;III;9;2;12;27;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.12.31;Control;III;9;2;12;31;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.12.64;Control;III;9;2;12;64;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.20.49;Control;III;9;2;20;49;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.20.69;Control;III;9;2;20;69;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.20.93;Control;III;9;2;20;93;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.24.57;Control;III;9;2;24;57;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.24.65;Control;III;9;2;24;65;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.30.48;Control;III;9;2;30;48;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;1;3;0
Control.III.9.2.30.95;Control;III;9;2;30;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.31.37;Control;III;9;2;31;37;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.31.60;Control;III;9;2;31;60;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.44.95;Control;III;9;2;44;95;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.2.94.30;Control;III;9;2;94;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.0.30;Control;III;9;3;0;30;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.8.41;Control;III;9;3;8;41;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.11.56;Control;III;9;3;11;56;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.15.47;Control;III;9;3;15;47;NA;NA;NA;2003;22.3266;3;32;0;55.8292;4;61;26
Control.III.9.3.17.2;Control;III;9;3;17;2;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.24.90;Control;III;9;3;24;90;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.III.9.3.30.69;Control;III;9;3;30;69;NA;NA;NA;2003;22.3266;1;3;0;55.8292;NA;NA;NA
Control.III.9.3.32.86;Control;III;9;3;32;86;NA;NA;NA;2003;22.3266;5;7;0;55.8292;6;14;2
