ID;treatment;site;plot;quadrat;x;y;shrub;compass;distance;year;Pnow;Anow;sizeNow;fecNow;Pnext;Anext;sizeNext;fecNext
Control.I.3.1.20.41;Control;I;3;1;20;41;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.38.50;Control;I;3;1;38;50;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.43.23;Control;I;3;1;43;23;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.57.28;Control;I;3;1;57;28;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.83.56;Control;I;3;1;83;56;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.83.72;Control;I;3;1;83;72;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.85.62;Control;I;3;1;85;62;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.92.5;Control;I;3;1;92;5;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.92.47;Control;I;3;1;92;47;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.1.100.53;Control;I;3;1;100;53;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.11.65;Control;I;3;2;11;65;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.30.0;Control;I;3;2;30;0;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.40.10;Control;I;3;2;40;10;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.68.93;Control;I;3;2;68;93;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.70.94;Control;I;3;2;70;94;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.2.71.79;Control;I;3;2;71;79;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.4.40;Control;I;3;3;4;40;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.5.66;Control;I;3;3;5;66;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.10.66;Control;I;3;3;10;66;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.12.44;Control;I;3;3;12;44;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.54.67;Control;I;3;3;54;67;At;80;5;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.65.25;Control;I;3;3;65;25;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.3.81.3;Control;I;3;3;81;3;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.4.26.17;Control;I;3;4;26;17;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.4.29.2;Control;I;3;4;29;2;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.4.36.7;Control;I;3;4;36;7;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.4.43.17;Control;I;3;4;43;17;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
Control.I.3.4.47.20;Control;I;3;4;47;20;NA;NA;NA;2003;22.3266;NA;NA;NA;55.8292;NA;NA;NA
